Years,Population
1991,655000
1992,666000
1993,678000
1994,689000
1995,701000
1996,708000
1997,712000
1998,715000
1999,720300
2000,722900
2001,724300
2002,702879
2003,702900
2004,703900
2005,704800
2006,704900
2007,705300
2008,705500
2009,720346
2010,719632
2011,719500
2012,719596
2013,719149
2014,718127
2015,719646
2016,712619
2017,710567
2018,707408
2019,702831
2020,699367
